track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7lerqaaEpBrlzmP0p1jyXn,0.797,0.484,8,-9.801,1,0.0855,0.231,0.0,0.0585,0.732,140.053,audio_features,7lerqaaEpBrlzmP0p1jyXn,spotify:track:7lerqaaEpBrlzmP0p1jyXn,https://api.spotify.com/v1/tracks/7lerqaaEpBrlzmP0p1jyXn,https://api.spotify.com/v1/audio-analysis/7lerqaaEpBrlzmP0p1jyXn,152899,4
7nMlhFSw9VphHNEgUec9uy,0.599,0.546,7,-6.984,1,0.0328,0.789,2.8e-05,0.116,0.263,89.98,audio_features,7nMlhFSw9VphHNEgUec9uy,spotify:track:7nMlhFSw9VphHNEgUec9uy,https://api.spotify.com/v1/tracks/7nMlhFSw9VphHNEgUec9uy,https://api.spotify.com/v1/audio-analysis/7nMlhFSw9VphHNEgUec9uy,264873,4
73ldtXyp1E5sHdSlSuV3Pq,0.76,0.22,5,-9.343,1,0.0371,0.483,0.0,0.293,0.363,99.975,audio_features,73ldtXyp1E5sHdSlSuV3Pq,spotify:track:73ldtXyp1E5sHdSlSuV3Pq,https://api.spotify.com/v1/tracks/73ldtXyp1E5sHdSlSuV3Pq,https://api.spotify.com/v1/audio-analysis/73ldtXyp1E5sHdSlSuV3Pq,228619,4
5z1KeOpL9n1b3iFAJk91iu,0.849,0.304,6,-15.932,0,0.212,0.824,0.198,0.11,0.693,98.0,audio_features,5z1KeOpL9n1b3iFAJk91iu,spotify:track:5z1KeOpL9n1b3iFAJk91iu,https://api.spotify.com/v1/tracks/5z1KeOpL9n1b3iFAJk91iu,https://api.spotify.com/v1/audio-analysis/5z1KeOpL9n1b3iFAJk91iu,202435,4
1CYdm33W4P71qdXWAZdrre,0.564,0.294,9,-8.427,0,0.0385,0.883,0.0,0.108,0.341,121.66,audio_features,1CYdm33W4P71qdXWAZdrre,spotify:track:1CYdm33W4P71qdXWAZdrre,https://api.spotify.com/v1/tracks/1CYdm33W4P71qdXWAZdrre,https://api.spotify.com/v1/audio-analysis/1CYdm33W4P71qdXWAZdrre,211427,4
4UCSbPweLRQNfkr5MCRooZ,0.566,0.695,4,-5.961,1,0.0282,0.125,3.56e-05,0.0888,0.191,101.912,audio_features,4UCSbPweLRQNfkr5MCRooZ,spotify:track:4UCSbPweLRQNfkr5MCRooZ,https://api.spotify.com/v1/tracks/4UCSbPweLRQNfkr5MCRooZ,https://api.spotify.com/v1/audio-analysis/4UCSbPweLRQNfkr5MCRooZ,196480,4
3YaHNBawBLi0dm85m3ohaI,0.755,0.852,2,-5.666,1,0.0388,0.023,0.00176,0.0475,0.919,123.969,audio_features,3YaHNBawBLi0dm85m3ohaI,spotify:track:3YaHNBawBLi0dm85m3ohaI,https://api.spotify.com/v1/tracks/3YaHNBawBLi0dm85m3ohaI,https://api.spotify.com/v1/audio-analysis/3YaHNBawBLi0dm85m3ohaI,201204,4
4hjbxjZpJ8H6qRCzDOGI0M,0.492,0.236,2,-17.224,1,0.0359,0.723,0.159,0.351,0.151,75.102,audio_features,4hjbxjZpJ8H6qRCzDOGI0M,spotify:track:4hjbxjZpJ8H6qRCzDOGI0M,https://api.spotify.com/v1/tracks/4hjbxjZpJ8H6qRCzDOGI0M,https://api.spotify.com/v1/audio-analysis/4hjbxjZpJ8H6qRCzDOGI0M,267378,4
3ZiuxcBeRanTjfHzVBuuQe,0.662,0.616,4,-9.621,1,0.206,0.156,0.000222,0.126,0.614,160.071,audio_features,3ZiuxcBeRanTjfHzVBuuQe,spotify:track:3ZiuxcBeRanTjfHzVBuuQe,https://api.spotify.com/v1/tracks/3ZiuxcBeRanTjfHzVBuuQe,https://api.spotify.com/v1/audio-analysis/3ZiuxcBeRanTjfHzVBuuQe,180952,4
3Maqlu2aPlU8NluW19O8JD,0.479,0.754,2,-5.818,1,0.0849,0.455,5.82e-06,0.127,0.575,180.109,audio_features,3Maqlu2aPlU8NluW19O8JD,spotify:track:3Maqlu2aPlU8NluW19O8JD,https://api.spotify.com/v1/tracks/3Maqlu2aPlU8NluW19O8JD,https://api.spotify.com/v1/audio-analysis/3Maqlu2aPlU8NluW19O8JD,179083,4
